CPU cores: 12

n_jobs   ThreadPool   ProcessPool 
1        1.124        1.488       
2        0.920        0.751       
3        0.915        0.516       
4        0.912        0.404       
5        0.931        0.386       
6        0.913        0.298       
7        0.955        0.349       
8        0.928        0.316       
9        0.911        0.291       
10       0.913        0.240       
11       0.894        0.278       
12       0.915        0.264       
13       0.910        0.258       
14       0.920        0.272       
15       0.921        0.369       
16       0.954        0.300       
17       0.943        0.314       
18       0.922        0.400       
19       0.906        0.483       
20       0.917        0.345       
21       0.927        0.394       
22       0.908        0.401       
23       0.922        0.357       
24       0.985        0.438       
